"gender","year","region","name","count"
"male",1997,"Brussels","Christian",9
"male",1997,"Brussels","Denis",9
"male",1997,"Brussels","Fabian",9
"male",1997,"Brussels","Frédéric",9
"male",1997,"Brussels","Gilles",9
"male",1997,"Brussels","Hadrien",9
"male",1997,"Brussels","Igor",9
"male",1997,"Brussels","Kadir",9
"male",1997,"Brussels","Killian",9
"male",1997,"Brussels","Miguel",9
"male",1997,"Brussels","Nelson",9
"male",1997,"Brussels","Salim",9
"male",1997,"Brussels","Thibaut",9
"male",1997,"Brussels","Youness",9
"male",1997,"Brussels","Alex",8
"male",1997,"Brussels","Angelo",8
"male",1997,"Brussels","Augustin",8
"male",1997,"Brussels","Aurélien",8
"male",1997,"Brussels","Brahim",8
"male",1997,"Brussels","Emre",8
"male",1997,"Brussels","Fatih",8
"male",1997,"Brussels","Geoffrey",8
"male",1997,"Brussels","Grégory",8
"male",1997,"Brussels","Kenny",8
"male",1997,"Brussels","Khalid",8
"male",1997,"Brussels","Lukas",8
"male",1997,"Brussels","Marco",8
"male",1997,"Brussels","Matthias",8
"male",1997,"Brussels","Maximilien",8
"male",1997,"Brussels","Mehmet",8
"male",1997,"Brussels","Mourad",8
"male",1997,"Brussels","Paul",8
"male",1997,"Brussels","Ryan",8
"male",1997,"Brussels","Sofian",8
"male",1997,"Brussels","Steven",8
"male",1997,"Brussels","Tristan",8
"male",1997,"Brussels","Alan",7
"male",1997,"Brussels","André",7
"male",1997,"Brussels","Brieuc",7
"male",1997,"Brussels","Daoud",7
"male",1997,"Brussels","Esteban",7
"male",1997,"Brussels","Fayçal",7
"male",1997,"Brussels","Grégoire",7
"male",1997,"Brussels","Hakan",7
"male",1997,"Brussels","Hasan",7
"male",1997,"Brussels","Ivan",7
"male",1997,"Brussels","James",7
"male",1997,"Brussels","Joseph",7
"male",1997,"Brussels","Julian",7
"male",1997,"Brussels","Marwan",7
"male",1997,"Brussels","Massimo",7
"male",1997,"Brussels","Michel",7
"male",1997,"Brussels","Mounir",7
"male",1997,"Brussels","Mustafa",7
"male",1997,"Brussels","Nassim",7
"male",1997,"Brussels","Nawfal",7
"male",1997,"Brussels","Othman",7
"male",1997,"Brussels","Stéphane",7
"male",1997,"Brussels","Sylvain",7
"male",1997,"Brussels","Abderrahmane",6
"male",1997,"Brussels","Adnane",6
"male",1997,"Brussels","Adrian",6
"male",1997,"Brussels","Alexandros",6
"male",1997,"Brussels","Andrew",6
"male",1997,"Brussels","Ayman",6
"male",1997,"Brussels","Benoît",6
"male",1997,"Brussels","Boris",6
"male",1997,"Brussels","Driss",6
"male",1997,"Brussels","Edouard",6
"male",1997,"Brussels","Gianni",6
"male",1997,"Brussels","Giuseppe",6
